symbol,name,close,ma250,deviation,change_pct,K,D,J,vol_trend,signal_score,industry
000920,沃顿科技,11.45,11.69,-2.07,0.7,10.44,16.25,-1.17,平量,84,基础化工
688269,凯立新材,37.89,36.91,2.65,1.77,11.45,15.42,3.51,平量,60,基础化工
002886,沃特股份,20.5,20.74,-1.13,0.94,15.93,18.84,10.1,缩量,50,基础化工
301090,华润材料,7.79,7.59,2.62,3.59,19.53,25.7,7.2,缩量,46,基础化工
688267,中触媒,28.17,27.74,1.56,2.21,21.56,27.34,10.0,平量,46,基础化工
301092,争光股份,32.99,32.63,1.12,3.26,14.33,15.01,12.96,缩量,39,基础化工
688065,凯赛生物,49.16,50.42,-2.49,3.26,13.65,15.09,10.78,缩量,34,基础化工
300641,正丹股份,21.26,22.04,-3.55,4.27,28.0,37.56,8.87,缩量,30,基础化工
002168,*ST惠程,3.79,3.67,3.21,-5.01,17.29,29.22,-6.56,平量,93,电力设备
301155,海力风电,75.61,75.38,0.31,-7.23,29.82,42.94,3.58,平量,83,电力设备
920062,科润智控,10.63,10.99,-3.31,-0.19,12.48,15.95,5.53,平量,46,电力设备
301557,常友科技,94.58,91.03,3.9,-0.05,26.83,36.93,6.64,平量,35,电力设备
300491,通合科技,23.85,24.63,-3.16,1.79,12.82,14.74,8.97,平量,34,电力设备
300904,威力传动,60.6,62.8,-3.5,-0.8,20.98,25.9,11.16,平量,22,电力设备
301456,盘古智能,28.98,27.68,4.69,0.8,22.66,29.78,8.43,缩量,21,电力设备
002106,莱宝高科,10.98,11.02,-0.4,1.48,21.38,26.79,10.56,缩量,55,电子
000823,超声电子,13.21,12.71,3.9,0.69,22.2,31.91,2.78,平量,50,电子
603228,景旺电子,56.59,54.27,4.28,-1.38,18.55,23.1,9.44,平量,21,电子
301176,逸豪新材,26.26,25.45,3.19,0.81,28.35,36.33,12.39,平量,20,电子
002130,沃尔核材,23.8,24.74,-3.8,0.46,17.08,20.1,11.02,缩量,20,电子
300170,汉得信息,19.45,19.39,0.32,0.15,10.69,11.88,8.31,平量,65,计算机
001229,魅视科技,36.08,35.18,2.55,-5.03,37.3,54.42,3.06,平量,63,计算机
920808,曙光数创,70.45,73.25,-3.83,-1.07,12.38,17.44,2.27,平量,53,计算机
603660,苏州科达,8.91,8.49,4.95,1.25,14.25,20.55,1.64,平量,44,计算机
920493,并行科技,145.82,153.49,-5.0,-1.47,13.05,17.26,4.62,平量,32,计算机
300981,中红医疗,13.3,12.97,2.57,0.76,15.86,30.38,-13.17,缩量,125,医药生物
000538,云南白药,54.4,55.96,-2.78,0.26,21.29,34.58,-5.3,平量,93,医药生物
600566,济川药业,25.63,26.1,-1.81,-3.36,24.79,32.94,8.48,平量,49,医药生物
300753,爱朋医疗,28.14,29.27,-3.85,1.88,13.62,15.88,9.1,缩量,27,医药生物
300226,上海钢联,25.1,25.15,-0.19,2.32,17.89,21.39,10.89,平量,56,垂直应用软件
300085,银之杰,39.99,41.71,-4.13,-5.33,40.77,60.34,1.62,平量,52,垂直应用软件
300033,同花顺,300.92,316.03,-4.78,1.37,18.74,24.63,6.95,平量,25,垂直应用软件
300468,四方精创,32.12,33.79,-4.95,3.65,16.84,20.94,8.63,缩量,17,垂直应用软件
605296,神农集团,28.41,29.88,-4.93,-1.8,23.51,38.08,-5.62,平量,72,农林牧渔
002157,正邦科技,3.09,3.0,2.85,1.64,15.96,20.96,5.97,平量,49,农林牧渔
000735,罗 牛 山,6.83,7.08,-3.59,2.09,15.4,17.2,11.82,平量,19,农林牧渔
688123,聚辰股份,107.3,108.68,-1.27,-2.16,14.22,20.49,1.66,平量,81,半导体
688153,唯捷创芯,33.87,34.66,-2.27,0.83,22.49,29.72,8.02,平量,46,半导体
600584,长电科技,39.53,37.93,4.23,0.25,16.11,18.73,10.87,平量,16,半导体
002356,赫美集团,3.6,3.54,1.68,1.41,12.28,14.78,7.27,缩量,55,商贸零售
000061,农 产 品,7.77,8.0,-2.91,-2.26,12.17,14.52,7.46,放量,42,商贸零售
600628,新世界,7.3,7.67,-4.81,1.25,17.27,20.96,9.87,缩量,14,商贸零售
600421,*ST华嵘,7.04,7.13,-1.2,0.14,19.29,26.72,4.43,平量,71,机械设备
300145,南方泵业,4.4,4.27,3.14,0.92,12.48,17.83,1.76,平量,62,机械设备
600458,时代新材,12.91,13.45,-4.01,-0.54,15.6,21.71,3.38,平量,47,机械设备
601601,中国太保,37.12,36.97,0.4,0.08,18.26,28.73,-2.67,平量,106,非银金融
601336,新华保险,63.32,62.72,0.96,-0.67,9.87,13.72,2.16,平量,82,非银金融
